,frame_number,row_coordinate
0,4670,113.19811320754717
1,4671,115.28787878787878
2,4672,114.3109756097561
3,4673,114.11920529801324
4,4674,114.97709923664122
5,4675,115.03731343283582
6,4676,114.52147239263803
7,4677,113.6604938271605
8,4678,114.3913043478261
9,4679,113.34437086092716
10,4680,114.37278106508876
11,4681,113.11184210526316
12,4682,114.07272727272728
13,4683,114.37654320987654
14,4684,113.42767295597484
15,4685,113.48684210526316
16,4686,114.62146892655367
17,4687,114.1377245508982
18,4688,112.18493150684931
19,4689,114.32352941176471
20,4690,114.48
21,4691,114.72432432432433
22,4692,113.31481481481481
23,4693,115.37349397590361
24,4694,114.85454545454546
25,4695,112.28965517241379
26,4696,113.78333333333333
27,4697,113.93859649122807
28,4698,112.4965034965035
29,4699,112.22448979591837
30,4700,114.944
31,4701,115.34586466165413
32,4702,116.77304964539007
33,4703,114.23333333333333
34,4704,112.64539007092199
35,4705,116.50354609929079
36,4706,116.84931506849315
37,4707,113.34027777777777
38,4708,115.71345029239767
39,4709,115.90502793296089
40,4710,114.4746835443038
41,4711,114.99382716049382
42,4712,117.25
43,4713,116.03787878787878
44,4714,115.94117647058823
45,4715,114.07964601769912
46,4716,114.19469026548673
47,4717,115.95488721804512
48,4718,114.3859649122807
49,4719,114.46341463414635
50,4720,116.09285714285714
51,4721,114.12068965517241
52,4722,114.32173913043478
53,4723,114.25217391304348
54,4724,116.40287769784173
55,4725,114.125
56,4726,115.42168674698796
57,4727,116.05223880597015
58,4728,116.64788732394366
59,4729,116.0962962962963
60,4730,116.47857142857143
61,4731,116.93103448275862
62,4732,116.71830985915493
63,4733,116.04761904761905
64,4734,115.93283582089552
65,4735,115.05555555555556
66,4736,115.29166666666667
67,4737,112.74468085106383
68,4738,115.24409448818898
69,4739,117.18493150684931
70,4740,116.64788732394366
71,4741,116.28467153284672
72,4742,116.50694444444444
73,4743,116.97278911564626
74,4744,117.11258278145695
75,4745,117.8974358974359
76,4746,114.39830508474576
77,4747,117.3061224489796
78,4748,115.68382352941177
79,4749,116.1029411764706
80,4750,116.17605633802818
81,4751,118.88414634146342
82,4752,114.53719008264463
83,4753,112.91666666666667
84,4754,115.75373134328358
85,4755,117.1655172413793
86,4756,112.7972027972028
87,4757,117.11971830985915
88,4758,117.35333333333334
89,4759,117.38311688311688
90,4760,114.69747899159664
91,4761,116.26436781609195
92,4762,116.83769633507853
93,4763,117.29710144927536
94,4764,116.00704225352112
95,4765,116.46896551724137
96,4766,113.10344827586206
97,4767,116.8125
98,4768,118.67096774193548
99,4769,114.66666666666667
100,4770,116.97315436241611
101,4771,117.94117647058823
102,4772,117.0
103,4773,114.72435897435898
104,4774,118.46835443037975
105,4775,118.48427672955975
106,4776,113.37062937062937
107,4777,115.63313609467455
108,4778,116.4965034965035
109,4779,116.94202898550725
110,4780,116.21348314606742
111,4781,118.69811320754717
112,4782,119.13414634146342
113,4783,114.84166666666667
114,4784,113.1360544217687
115,4785,117.76470588235294
116,4786,117.02816901408451
117,4787,113.12587412587412
118,4788,116.38285714285715
119,4789,116.79452054794521
120,4790,117.52258064516128
121,4791,116.75352112676056
122,4792,113.28169014084507
123,4793,115.4
124,4794,115.26086956521739
125,4795,116.27011494252874
126,4796,115.35632183908046
127,4797,117.63513513513513
128,4798,118.94409937888199
129,4799,115.0495867768595
130,4800,116.13559322033899
131,4801,117.2394366197183
132,4802,116.37078651685393
133,4803,117.2127659574468
134,4804,118.72727272727273
135,4805,117.25
136,4806,116.74585635359117
137,4807,117.11640211640211
138,4808,117.87662337662337
139,4809,116.8936170212766
140,4810,115.87719298245614
141,4811,119.1219512195122
142,4812,115.94736842105263
143,4813,116.74825174825175
144,4814,117.93103448275862
145,4815,119.62903225806451
146,4816,118.84183673469387
147,4817,117.98601398601399
148,4818,116.79411764705883
149,4819,115.19834710743801
150,4820,116.8103448275862
151,4821,117.91709844559585
152,4822,115.38764044943821
153,4823,118.16993464052288
154,4824,118.9261744966443
155,4825,117.66216216216216
156,4826,118.21935483870968
157,4827,117.8543046357616
158,4828,118.1006711409396
159,4829,117.19594594594595
160,4830,117.18181818181819
161,4831,116.77697841726619
162,4832,117.74149659863946
163,4833,117.62068965517241
164,4834,119.1219512195122
165,4835,115.77692307692308
166,4836,116.41044776119404
167,4837,120.01807228915662
168,4838,115.67460317460318
169,4839,113.66206896551724
170,4840,115.28225806451613
171,4841,116.85211267605634
172,4842,119.60126582278481
173,4843,115.4959349593496
174,4844,117.35915492957747
175,4845,118.09740259740259
176,4846,119.88888888888889
177,4847,115.52830188679245
178,4848,118.12666666666667
179,4849,117.84931506849315
180,4850,119.2202380952381
181,4851,119.35333333333334
182,4852,113.95945945945945
