,frame number,row_coordinate
0,4670,116
1,4671,139
2,4672,142
3,4673,138
4,4674,139
5,4675,140
6,4676,143
7,4677,142
8,4678,142
9,4679,141
10,4680,142
11,4681,141
12,4682,141
13,4683,141
14,4684,140
15,4685,140
16,4686,142
17,4687,141
18,4688,141
19,4689,142
20,4690,143
21,4691,146
22,4692,143
23,4693,145
24,4694,144
25,4695,146
26,4696,134
27,4697,142
28,4698,146
29,4699,146
30,4700,143
31,4701,136
32,4702,143
33,4703,143
34,4704,146
35,4705,145
36,4706,143
37,4707,143
38,4708,145
39,4709,145
40,4710,144
41,4711,145
42,4712,149
43,4713,140
44,4714,140
45,4715,142
46,4716,144
47,4717,142
48,4718,141
49,4719,143
50,4720,139
51,4721,138
52,4722,143
53,4723,137
54,4724,136
55,4725,142
56,4726,147
57,4727,143
58,4728,142
59,4729,143
60,4730,142
61,4731,143
62,4732,143
63,4733,147
64,4734,142
65,4735,143
66,4736,143
67,4737,147
68,4738,137
69,4739,144
70,4740,145
71,4741,140
72,4742,142
73,4743,142
74,4744,140
75,4745,144
76,4746,139
77,4747,145
78,4748,145
79,4749,135
80,4750,144
81,4751,146
82,4752,142
83,4753,143
84,4754,142
85,4755,142
86,4756,145
87,4757,147
88,4758,143
89,4759,142
90,4760,144
91,4761,145
92,4762,148
93,4763,141
94,4764,141
95,4765,144
96,4766,146
97,4767,145
98,4768,143
99,4769,141
100,4770,146
101,4771,146
102,4772,146
103,4773,146
104,4774,145
105,4775,143
106,4776,144
107,4777,149
108,4778,145
109,4779,147
110,4780,148
111,4781,147
112,4782,147
113,4783,145
114,4784,145
115,4785,147
116,4786,145
117,4787,145
118,4788,147
119,4789,145
120,4790,145
121,4791,146
122,4792,147
123,4793,147
124,4794,147
125,4795,148
126,4796,148
127,4797,143
128,4798,147
129,4799,146
130,4800,148
131,4801,145
132,4802,148
133,4803,148
134,4804,145
135,4805,147
136,4806,148
137,4807,150
138,4808,144
139,4809,139
140,4810,148
141,4811,150
142,4812,141
143,4813,138
144,4814,147
145,4815,152
146,4816,153
147,4817,144
148,4818,140
149,4819,139
150,4820,150
151,4821,153
152,4822,145
153,4823,142
154,4824,149
155,4825,149
156,4826,143
157,4827,143
158,4828,143
159,4829,141
160,4830,137
161,4831,145
162,4832,139
163,4833,140
164,4834,143
165,4835,140
166,4836,143
167,4837,149
168,4838,145
169,4839,146
170,4840,142
171,4841,142
172,4842,145
173,4843,145
174,4844,149
175,4845,140
176,4846,145
177,4847,147
178,4848,145
179,4849,143
180,4850,146
181,4851,149
182,4852,149
183,4853,150
184,4854,146
185,4855,150
186,4856,149
187,4857,147
188,4858,145
189,4859,142
190,4860,149
191,4861,149
192,4862,149
193,4863,147
194,4864,147
195,4865,149
196,4866,151
197,4867,144
198,4868,150
199,4869,148
200,4870,149
201,4871,143
202,4872,149
203,4873,142
204,4874,148
205,4875,148
206,4876,145
207,4877,150
208,4878,149
209,4879,149
210,4880,150
211,4881,149
212,4882,147
213,4883,141
214,4884,145
215,4885,143
216,4886,147
217,4887,148
218,4888,145
219,4889,145
220,4890,143
221,4891,146
222,4892,148
223,4893,148
224,4894,149
225,4895,148
226,4896,140
227,4897,149
228,4898,150
229,4899,146
230,4900,146
231,4901,145
232,4902,150
233,4903,147
234,4904,150
235,4905,149
236,4906,150
237,4907,149
238,4908,148
239,4909,145
240,4910,150
241,4911,147
242,4912,142
243,4913,140
244,4914,140
245,4915,152
246,4916,147
247,4917,149
248,4918,150
249,4919,145
250,4920,151
251,4921,142
252,4922,141
253,4923,147
254,4924,142
255,4925,147
256,4926,141
257,4927,143
258,4928,152
259,4929,152
260,4930,149
261,4931,149
262,4932,145
263,4933,150
264,4934,144
265,4935,142
266,4936,151
267,4937,139
268,4938,141
269,4939,142
270,4940,152
271,4941,146
272,4942,142
273,4943,138
274,4944,149
275,4945,152
276,4946,149
277,4947,145
278,4948,145
279,4949,151
280,4950,150
281,4951,147
282,4952,146
283,4953,141
284,4954,138
285,4955,151
286,4956,149
287,4957,140
288,4958,143
289,4959,154
290,4960,153
291,4961,146
292,4962,149
293,4963,157
294,4964,155
295,4965,145
296,4966,157
297,4967,153
298,4968,148
299,4969,128
300,4970,134
