,frame_number,row_coordinate
0,465,152.7520325203252
1,466,152.7793103448276
2,467,152.29946524064172
3,468,152.21235521235522
4,469,151.59354838709677
5,470,152.57553956834533
6,471,152.04098360655738
7,472,151.68
8,473,152.42857142857142
9,474,152.28472222222223
10,475,152.31404958677686
11,476,146.0096153846154
12,477,151.54362416107384
13,478,152.06849315068493
14,479,152.55645161290323
15,480,151.9795918367347
16,481,152.96
17,482,153.3913043478261
18,483,153.8050847457627
19,484,152.67605633802816
20,485,152.98347107438016
21,486,153.1038961038961
22,487,153.0965909090909
23,488,153.5808823529412
24,489,153.7718120805369
25,490,153.84337349397592
26,491,154.37623762376236
27,492,154.46186440677965
