,frame_number,row_coordinate
0,5642,102.14836795252225
1,5643,124.67895400126024
2,5644,22.9903721051262
3,5645,80.96151293961513
4,5646,43.43283582089552
5,5647,11.490004442470013
6,5648,23.469117647058823
7,5649,13.820224719101123
8,5650,15.495726495726496
9,5651,125.9627659574468
10,5652,13.853535353535353
11,5653,15.039823008849558
12,5654,53.4337899543379
13,5655,56.44864864864865
14,5656,125.83870967741936
15,5657,53.80149812734082
16,5658,56.70108695652174
17,5659,58.678048780487806
18,5660,55.87765957446808
19,5661,55.354651162790695
20,5662,34.00684931506849
21,5663,56.47337278106509
22,5664,8.221793635486982
23,5665,53.111111111111114
24,5666,10.69932256383533
25,5667,56.60122699386503
26,5668,10.335776149233844
27,5669,122.75
28,5670,53.985611510791365
29,5671,10.28240252897787
30,5672,12.063147973609802
31,5673,55.71895424836601
32,5674,55.17567567567568
33,5675,11.749224405377456
34,5676,57.258823529411764
35,5677,158.85308056872037
36,5678,122.77586206896552
37,5679,12.131749460043197
38,5680,53.775510204081634
39,5681,10.692592592592593
40,5682,123.63333333333334
41,5683,54.44
42,5684,163.11216730038024
43,5685,55.07692307692308
44,5686,125.11904761904762
45,5687,148.12883435582822
46,5688,149.7886977886978
47,5689,147.6782334384858
48,5690,49.98989898989899
49,5691,150.27722772277227
50,5692,150.99278846153845
51,5693,57.082644628099175
52,5694,148.7
53,5695,149.14742014742015
54,5696,42.36274509803921
55,5697,42.738461538461536
56,5698,149.75703324808185
57,5699,150.1021505376344
58,5700,58.00127551020408
59,5701,47.733067729083665
60,5702,51.67395626242545
61,5703,56.979729729729726
62,5704,53.22919937205651
63,5705,44.717289719626166
64,5706,59.153284671532845
65,5707,45.37909836065574
66,5708,48.66243194192378
67,5709,60.59090909090909
68,5710,42.85778781038375
69,5711,45.09670781893004
70,5712,47.51205936920223
71,5713,63.05309734513274
72,5714,43.090507726269315
73,5715,46.17504655493482
74,5716,44.426587301587304
75,5717,43.01923076923077
76,5718,42.94725274725275
77,5719,44.93787575150301
78,5720,43.92040816326531
79,5721,42.84361233480176
80,5722,43.50840336134454
81,5723,44.276553106212425
82,5724,43.45247933884298
83,5725,45.45
84,5726,44.58906882591093
85,5727,43.15777777777778
86,5728,45.76229508196721
87,5729,47.12230215827338
88,5730,47.28888888888889
89,5731,47.72463768115942
90,5732,48.184397163120565
91,5733,50.845360824742265
92,5734,50.123456790123456
93,5735,43.13725490196079
94,5736,43.41841004184101
95,5737,50.5
96,5738,51.34010152284264
97,5739,52.605
98,5740,43.46120689655172
99,5741,54.25550660792952
100,5742,53.23222748815166
101,5743,52.445544554455445
102,5744,52.64705882352941
103,5745,55.41949152542373
104,5746,55.968
105,5747,54.50471698113208
106,5748,56.58267716535433
107,5749,54.14691943127962
108,5750,56.82520325203252
109,5751,56.388429752066116
110,5752,43.336283185840706
111,5753,54.04424778761062
112,5754,53.85981308411215
113,5755,56.127049180327866
114,5756,55.19298245614035
115,5757,54.70539419087137
116,5758,45.61075268817204
117,5759,68.93236714975845
118,5760,25.538631346578367
119,5761,23.91822094691535
120,5762,25.33042212518195
121,5763,25.532724505327245
122,5764,27.07241910631741
123,5765,266.1669793621013
