,frame_number,row_coordinate
0,951,278.76
1,952,278.70952380952383
2,953,278.57004830917873
3,954,278.2953367875648
4,955,278.6267942583732
5,956,278.6267942583732
6,957,278.32978723404256
7,958,278.2142857142857
8,959,278.65686274509807
9,960,278.3723404255319
10,961,278.52150537634407
11,962,278.6267942583732
12,963,278.5145631067961
13,964,278.5483870967742
14,965,278.54594594594596
15,966,278.7638190954774
16,967,278.7783251231527
17,968,278.30555555555554
18,969,278.5771144278607
19,970,278.5347593582888
20,971,278.5597826086956
21,972,278.54594594594596
22,973,278.7914691943128
23,974,278.6267942583732
24,975,278.7352941176471
25,976,278.66350710900474
26,977,278.46774193548384
27,978,278.5169082125604
28,979,278.54594594594596
29,980,278.70952380952383
30,981,278.77403846153845
31,982,278.52150537634407
32,983,278.6267942583732
33,984,278.54594594594596
34,985,278.61
35,986,278.52150537634407
36,987,278.3538461538462
37,988,278.52150537634407
38,989,278.53513513513514
39,990,278.4949494949495
40,991,278.52150537634407
41,992,278.2335025380711
42,993,278.54594594594596
43,994,278.61
44,995,278.685
45,996,278.85645933014354
46,997,278.8301886792453
47,998,278.95754716981133
48,999,278.5169082125604
49,1000,278.54594594594596
50,1001,278.43939393939394
51,1002,278.97630331753555
52,1003,278.8767772511848
53,1004,278.5771144278607
54,1005,278.5809523809524
55,1006,278.54594594594596
56,1007,278.95754716981133
57,1008,278.54594594594596
58,1009,278.72463768115944
59,1010,278.9252336448598
60,1011,278.97630331753555
61,1012,278.5597826086956
62,1013,278.81220657277
63,1014,278.54594594594596
64,1015,278.34343434343435
65,1016,278.5771144278607
66,1017,278.7914691943128
67,1018,278.5769230769231
68,1019,278.64622641509436
69,1020,278.3723404255319
70,1021,278.4611650485437
71,1022,278.3181818181818
72,1023,278.52150537634407
73,1024,278.54594594594596
74,1025,278.6267942583732
75,1026,278.7914691943128
76,1027,278.74881516587675
77,1028,278.54594594594596
78,1029,278.7914691943128
79,1030,278.61
80,1031,278.3538461538462
81,1032,278.5771144278607
82,1033,278.54594594594596
83,1034,278.292817679558
84,1035,278.54594594594596
85,1036,278.4975369458128
86,1037,278.54594594594596
87,1038,278.3181818181818
88,1039,278.5323383084577
89,1040,278.5169082125604
90,1041,278.54594594594596
91,1042,278.5323383084577
92,1043,278.8942307692308
93,1044,278.54594594594596
94,1045,278.52150537634407
95,1046,278.81220657277
96,1047,278.4611650485437
97,1048,278.4720812182741
98,1049,278.52153110047846
99,1050,278.292817679558
100,1051,278.52150537634407
101,1052,278.685
102,1053,278.292817679558
103,1054,278.54594594594596
104,1055,278.64622641509436
105,1056,278.4611650485437
106,1057,278.2908163265306
107,1058,278.529702970297
108,1059,278.54594594594596
109,1060,278.54594594594596
110,1061,278.3636363636364
111,1062,278.54594594594596
112,1063,278.54594594594596
113,1064,278.3723404255319
114,1065,278.3723404255319
115,1066,278.54634146341465
116,1067,278.681592039801
117,1068,278.43718592964825
118,1069,278.69607843137254
119,1070,278.70952380952383
