,frame number,row_coordinate
0,951,599
1,952,599
2,953,599
3,954,599
4,955,585
5,956,599
6,957,599
7,958,599
8,959,585
9,960,599
10,961,599
11,962,585
12,963,599
13,964,599
14,965,588
15,966,599
16,967,599
17,968,599
18,969,599
19,970,599
20,971,599
21,972,599
22,973,599
23,974,599
24,975,584
25,976,581
26,977,599
27,978,584
28,979,599
29,980,583
30,981,583
31,982,599
32,983,582
33,984,599
34,985,599
35,986,599
36,987,599
37,988,599
38,989,599
39,990,599
40,991,599
41,992,581
42,993,599
43,994,599
44,995,599
45,996,599
46,997,583
47,998,581
48,999,583
49,1000,599
50,1001,599
51,1002,599
52,1003,599
53,1004,598
54,1005,583
55,1006,599
56,1007,599
57,1008,582
58,1009,599
59,1010,599
60,1011,582
61,1012,599
62,1013,599
63,1014,599
64,1015,599
65,1016,599
66,1017,599
67,1018,584
68,1019,582
69,1020,589
70,1021,599
71,1022,599
72,1023,599
73,1024,599
74,1025,599
75,1026,581
76,1027,599
77,1028,599
78,1029,587
79,1030,599
80,1031,599
81,1032,599
82,1033,599
83,1034,599
84,1035,599
85,1036,599
86,1037,595
87,1038,583
88,1039,599
89,1040,599
90,1041,599
91,1042,599
92,1043,583
93,1044,599
94,1045,599
95,1046,582
96,1047,584
97,1048,599
98,1049,599
99,1050,599
100,1051,599
101,1052,581
102,1053,584
103,1054,599
104,1055,582
105,1056,584
106,1057,583
107,1058,599
108,1059,599
109,1060,599
110,1061,599
111,1062,599
112,1063,599
113,1064,599
114,1065,599
115,1066,585
116,1067,581
117,1068,599
118,1069,599
119,1070,582
